date,open,high,low,close,volume
1600754400000,0.85,6,0.85,4.8811,3198372.67
1600758000000,4.88,5.35,4.245,4.9096,3171013.6
1600761600000,4.9096,6.9289,4.82,6.8219,3883981.43
1600765200000,6.8299,7,5.55,6.2108,3681832.89
1600768800000,6.2109,6.3,4.975,5.4901,2729116.18
1600772400000,5.485,6.1657,5.2311,5.7679,1911454.03
1600776000000,5.7679,6.15,5.4428,5.8565,1399043.8
1600779600000,5.8565,5.98,5.3363,5.5112,1100004.96
1600783200000,5.5001,5.5895,5.04,5.157,1195376
1600786800000,5.1522,5.1568,4.311,4.6699,2318158.29
1600790400000,4.6691,4.8893,4.338,4.8848,1290724.18
1600794000000,4.8848,4.8902,4.3823,4.4101,804723.78
1600797600000,4.4015,4.4616,4.0266,4.1532,964490
1600801200000,4.159,4.5538,4.15,4.48,680045.89
1600804800000,4.4854,4.4994,4.2354,4.3316,296565.52
1600808400000,4.3294,4.9109,4.3262,4.82,837867.44
1600812000000,4.8202,5.3815,4.56,5.3149,1031523.07
1600815600000,5.2957,5.5499,5.04,5.3193,947589.43
1600819200000,5.3279,5.36,4.92,4.9536,383599.28
1600822800000,4.9582,5.0915,4.6,4.7674,417022.6
1600826400000,4.7677,5.0297,4.6,5.0025,437443.27
1600830000000,5.0189,5.1922,4.812,4.9135,320816.36
1600833600000,4.9135,4.9455,4.283,4.316,894649.84
1600837200000,4.3073,4.5063,4.15,4.3862,475271.41
1600840800000,4.3863,4.6132,4.21,4.3654,511282.65
1600844400000,4.3567,4.3876,3.9169,4.1197,849089.24
1600848000000,4.1184,4.36,4.0295,4.2607,475865.28
1600851600000,4.2603,4.2603,4.07,4.2323,372330.84
1600855200000,4.2302,4.3501,4.1203,4.2744,442211.62
1600858800000,4.2574,4.4,4.1318,4.2108,489308.65
1600862400000,4.2108,4.3934,4.0191,4.2948,696166.61
1600866000000,4.29,4.6172,4.25,4.4096,728446.71
1600869600000,4.4181,4.4558,4.171,4.2242,528125.88
1600873200000,4.2189,4.278,4.0278,4.1073,645598.82
1600876800000,4.0996,4.277,4.0769,4.2706,382597.51
1600880400000,4.2647,4.33,4.109,4.165,500452.38
1600884000000,4.166,4.2798,3.9979,4.0003,328314.61
1600887600000,4.0003,4.0769,3.65,3.7238,895487.81
1600891200000,3.7149,3.9604,3.4,3.5587,747776.2
1600894800000,3.5587,3.66,3.4285,3.5561,493542.84
1600898400000,3.557,3.6785,3.4751,3.5814,361247.54
1600902000000,3.5817,3.6574,3.45,3.535,243960.06
1600905600000,3.5305,3.639,3.4033,3.5633,332368.25
1600909200000,3.5605,3.7587,3.5579,3.6361,220447
1600912800000,3.6394,3.8284,3.5958,3.7187,229477.33
1600916400000,3.7196,3.82,3.6969,3.7398,131307.06
1600920000000,3.7397,3.78,3.5741,3.6028,235786.15
1600923600000,3.6048,3.6721,3.528,3.6213,171666.85
1600927200000,3.6256,3.763,3.6212,3.68,132831.25
1600930800000,3.68,3.92,3.6777,3.8323,309758.24
1600934400000,3.834,4.2424,3.834,4.1124,610236.26
1600938000000,4.1123,4.22,3.8937,4.0396,542785.48
1600941600000,4.0441,4.32,4.0198,4.2703,396368.83
1600945200000,4.2718,4.4537,4.2434,4.3179,444412.67
1600948800000,4.3132,4.37,3.75,3.9471,642056.8
1600952400000,3.9472,4.093,3.7762,3.9604,420916.26
1600956000000,3.962,4.1274,3.93,4.1126,230587.11
1600959600000,4.1101,4.22,4.017,4.1466,240399.61
1600963200000,4.1488,4.29,4.0702,4.1921,223204.51
1600966800000,4.193,4.22,4.11,4.1818,84029.37
1600970400000,4.1863,4.2631,4.0109,4.0162,159533.45
1600974000000,4.01,4.19,3.9955,4.1828,112875.13
1600977600000,4.1895,4.2735,4.085,4.085,211834.04
1600981200000,4.0904,4.3168,4.0806,4.285,117679.3
1600984800000,4.2798,4.7845,4.2771,4.7071,590866.75
1600988400000,4.7071,4.8873,4.56,4.6411,316416.16
1600992000000,4.6366,4.7204,4.4352,4.5336,234127.36
1600995600000,4.5189,4.6583,4.4691,4.5031,115352.33
1600999200000,4.5011,4.6449,4.4952,4.5747,119715.99
1601002800000,4.5784,4.8042,4.49,4.531,201217.02
1601006400000,4.531,4.67,4.4804,4.6063,112332.1
1601010000000,4.607,4.6435,4.4733,4.4733,135225.82
1601013600000,4.4754,4.75,4.4351,4.7431,202220.58
1601017200000,4.7419,4.8303,4.5682,4.5762,249416.92
1601020800000,4.5726,4.6697,4.376,4.4323,208004.27
