date,open,high,low,close,volume
1602651600000,1.3,1.88,1.1111,1.3286,9144858.53
1602655200000,1.3292,1.3385,1.1251,1.1457,3802846.21
1602658800000,1.1588,1.3099,1.1575,1.2517,1802968.37
1602662400000,1.2597,1.3199,1.176,1.2077,1320731.01
1602666000000,1.2087,1.2561,1.1638,1.1782,1020106.92
1602669600000,1.1795,1.1911,1.08,1.0941,2089772.41
1602673200000,1.0947,1.1623,1.05,1.1051,1994114.37
1602676800000,1.1052,1.1952,1.0719,1.1857,1763728.13
1602680400000,1.1858,1.2819,1.1733,1.22,2317772.56
1602684000000,1.22,1.2596,1.14,1.1487,1912527.61
1602687600000,1.1498,1.1999,1.1023,1.1281,1669963.29
1602691200000,1.127,1.1999,1.1111,1.1975,1322910.65
1602694800000,1.1977,1.1989,1.1057,1.1309,962973.49
1602698400000,1.131,1.1339,1.07,1.0742,1042692.21
1602702000000,1.074,1.1214,1.0732,1.1089,505657.88
1602705600000,1.1097,1.1101,1.085,1.1001,209990.04
1602709200000,1.1013,1.1342,1.08,1.1205,438272.66
1602712800000,1.1244,1.1687,1.1244,1.1331,291112.89
1602716400000,1.1331,1.187,1.1331,1.1685,317219.63
1602720000000,1.1685,1.17,1.1442,1.158,182704.38
1602723600000,1.1581,1.19,1.1558,1.1795,319272.83
1602727200000,1.1779,1.2522,1.1779,1.206,848850.51
1602730800000,1.2044,1.2358,1.1812,1.1813,480906.02
1602734400000,1.1817,1.2067,1.163,1.1969,324576.98
1602738000000,1.197,1.2245,1.1766,1.1803,423627.66
1602741600000,1.1792,1.1905,1.1495,1.1605,441266.65
1602745200000,1.1605,1.1619,1.1067,1.1249,591308.99
1602748800000,1.1249,1.185,1.1003,1.1159,974180.68
1602752400000,1.1165,1.1276,1.0792,1.12,975701.75
1602756000000,1.1179,1.1635,1.1129,1.1554,519766.59
1602759600000,1.1567,1.1575,1.121,1.1283,319490.4
1602763200000,1.1256,1.175,1.1015,1.1513,707656.23
1602766800000,1.1531,1.2198,1.1499,1.219,933463.38
1602770400000,1.2171,1.219,1.1612,1.1656,489101.17
1602774000000,1.1656,1.1869,1.1617,1.177,361655.17
1602777600000,1.1769,1.1781,1.115,1.1355,741823.7
1602781200000,1.1356,1.164,1.1217,1.1482,426659.41
1602784800000,1.1501,1.1528,1.1264,1.1388,384498.28
1602788400000,1.1388,1.16,1.1386,1.16,173576.92
1602792000000,1.1579,1.1636,1.1409,1.1442,220347.02
1602795600000,1.1446,1.1448,1.1279,1.1344,199025.52
1602799200000,1.1327,1.1337,1.116,1.1195,179787.81
1602802800000,1.1214,1.1345,1.1195,1.1209,113708.14
1602806400000,1.1222,1.1477,1.114,1.1329,271871.9
1602810000000,1.1346,1.1524,1.133,1.1481,220371.55
1602813600000,1.1481,1.1481,1.1157,1.1294,247209.51
1602817200000,1.1294,1.13,1.102,1.1073,262136.39
1602820800000,1.1073,1.1073,0.9423,1.0018,3326728.3
1602824400000,1.0019,1.0265,0.9852,0.9955,629721.41
1602828000000,0.9935,0.9938,0.9488,0.9495,1194708.31
1602831600000,0.9499,0.981,0.9297,0.9345,962104.35
1602835200000,0.9345,0.9767,0.93,0.9412,912114.93
1602838800000,0.9408,0.9492,0.86,0.8757,1632926.42
1602842400000,0.8774,0.9295,0.8766,0.9098,1029895.75
1602846000000,0.9098,0.9306,0.8877,0.9197,1251724.15
1602849600000,0.9199,0.945,0.9082,0.9373,898979.47
1602853200000,0.9373,0.9435,0.9174,0.9316,477942.38
1602856800000,0.9316,0.9423,0.8918,0.9065,736077.1
1602860400000,0.907,0.9071,0.87,0.8831,700697.77
1602864000000,0.8831,0.9127,0.8648,0.874,962277.39
1602867600000,0.8749,0.8943,0.8739,0.8852,588056.03
1602871200000,0.8854,0.8998,0.8845,0.8853,296947.16
1602874800000,0.8853,0.8853,0.87,0.8708,148689.04
1602878400000,0.87,0.87,0.812,0.8202,923659.34
1602882000000,0.8191,0.8394,0.8182,0.83,369427.72
1602885600000,0.8283,0.8407,0.8219,0.8311,205431.88
1602889200000,0.8311,0.8316,0.8163,0.8171,236576.34
1602892800000,0.8171,0.8183,0.72,0.7484,2016129.57
1602896400000,0.7489,0.7645,0.7457,0.761,852333.97
1602900000000,0.7616,0.7728,0.748,0.7539,351833.08
1602903600000,0.7538,0.8649,0.7538,0.8435,1468671.7
1602907200000,0.8438,0.8565,0.8165,0.8286,527356.02
1602910800000,0.8287,0.8317,0.8018,0.8108,435801.81
1602914400000,0.8108,0.8192,0.801,0.808,252904.89
1602918000000,0.8084,0.85,0.8067,0.8377,460659.55
1602921600000,0.8377,0.8393,0.8126,0.8126,261358.9
1602925200000,0.8124,0.8198,0.773,0.7781,846135.32
1602928800000,0.7778,0.8047,0.7758,0.7972,471581.58
1602932400000,0.7968,0.8197,0.7952,0.7973,334227.29
1602936000000,0.7973,0.8057,0.7861,0.7934,296378.32
1602939600000,0.7934,0.8024,0.775,0.784,348135.1
1602943200000,0.784,0.8012,0.775,0.7972,435942.29
1602946800000,0.7973,0.8123,0.7885,0.7886,348656.37
1602950400000,0.7886,0.7969,0.7559,0.7601,445932.57
1602954000000,0.7602,0.777,0.7547,0.7762,239816.64
1602957600000,0.7773,0.7773,0.7588,0.76,235947.37
